# Created from matlab git hash 23998a2ad3b03124e7bddb615f9834a5ccd2ca3a
# name: foo
# type: matrix
# rows: 130
# columns: 4
1 1 1 1
2 1 1 1
1 2 1 1
2 2 1 1
1 3 1 1
2 3 1 1
1 4 1 1
2 4 1 1
1 5 1 1
2 5 1 1
1 1 2 1
2 1 2 1
1 2 2 1
2 2 2 1
1 3 2 1
2 3 2 1
1 4 2 1
2 4 2 1
1 5 2 1
2 5 2 1
1 1 3 1
2 1 3 1
1 2 3 1
2 2 3 1
1 3 3 1
2 3 3 1
1 4 3 1
2 4 3 1
1 5 3 1
2 5 3 1
1 1 4 1
2 1 4 1
1 2 4 1
2 2 4 1
1 3 4 1
2 3 4 1
1 4 4 1
2 4 4 1
1 5 4 1
1 1 1 2
2 1 1 2
1 2 1 2
2 2 1 2
1 3 1 2
2 3 1 2
1 4 1 2
2 4 1 2
1 5 1 2
2 5 1 2
1 1 2 2
2 1 2 2
1 2 2 2
2 2 2 2
1 3 2 2
2 3 2 2
1 4 2 2
2 4 2 2
1 5 2 2
2 5 2 2
1 1 3 2
2 1 3 2
1 2 3 2
2 2 3 2
1 3 3 2
2 3 3 2
1 4 3 2
2 4 3 2
1 5 3 2
1 1 4 2
2 1 4 2
1 2 4 2
2 2 4 2
1 3 4 2
2 3 4 2
1 4 4 2
1 1 1 3
2 1 1 3
1 2 1 3
2 2 1 3
1 3 1 3
2 3 1 3
1 4 1 3
2 4 1 3
1 5 1 3
2 5 1 3
1 1 2 3
2 1 2 3
1 2 2 3
2 2 2 3
1 3 2 3
2 3 2 3
1 4 2 3
2 4 2 3
1 5 2 3
1 1 3 3
2 1 3 3
1 2 3 3
2 2 3 3
1 3 3 3
2 3 3 3
1 4 3 3
1 1 4 3
2 1 4 3
1 2 4 3
2 2 4 3
1 3 4 3
1 1 1 4
2 1 1 4
1 2 1 4
2 2 1 4
1 3 1 4
2 3 1 4
1 4 1 4
2 4 1 4
1 5 1 4
1 1 2 4
2 1 2 4
1 2 2 4
2 2 2 4
1 3 2 4
2 3 2 4
1 4 2 4
1 1 3 4
2 1 3 4
1 2 3 4
2 2 3 4
1 3 3 4
1 1 4 4
2 1 4 4
1 2 4 4
